Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Pred Acc
[39_ 112_ 114_ 140_ 194_ 436_ 869],2.0991,BPSO with ANN,7,0.3057,0.2338,0.3436,1.4093,1.1072,0.5634
[39_ 81_ 140_ 170_ 176_ 177_ 180_ 205_ 217_ 313_ 413_ 462_ 464_ 481_ 928],3.7843,BPSO with ANN,15,0.2898,0.2337,0.3554,1.3965,1.1127,0.5915
[39_ 134_ 138_ 217_ 290_ 352_ 363_ 381_ 424_ 432_ 538_ 880_ 937],3.3635,BPSO with ANN,13,0.2909,0.2334,0.3578,1.394,1.1084,0.5634
[39_ 68_ 127_ 140_ 191_ 218_ 250_ 353_ 442_ 553_ 563_ 690_ 694],3.3396,BPSO with ANN,13,0.3257,0.2332,0.3599,1.3917,1.09,0.5775
[39_ 54_ 60_ 69_ 113_ 149_ 444_ 458_ 572],2.5367,BPSO with ANN,9,0.2759,0.2326,0.3157,1.439,1.1591,0.5211
[39_ 69_ 106_ 166_ 192_ 224_ 327_ 439_ 482_ 504],2.7799,BPSO with ANN,10,0.2254,0.2306,0.3057,1.4493,1.1759,0.493
[33_ 34_ 121_ 154_ 203_ 276_ 291_ 341_ 385_ 396_ 424_ 440_ 454_ 550_ 552_ 699],4.0479,BPSO with ANN,16,0.2136,0.2304,0.2578,1.4985,1.2385,0.493
[39_ 50_ 242_ 270_ 275_ 390_ 502_ 548_ 571_ 700_ 928],2.9726,BPSO with ANN,11,0.2508,0.2302,0.3548,1.3973,1.1278,0.5352
[39_ 253_ 263_ 317_ 348_ 364_ 378_ 451_ 474_ 542_ 615_ 692_ 880],3.3914,BPSO with ANN,13,0.2515,0.2301,0.3121,1.4427,1.1699,0.507
[39_ 43_ 133_ 152_ 161_ 267_ 270_ 309_ 486_ 562_ 678_ 702_ 865_ 906_ 907],3.7576,BPSO with ANN,15,0.3313,0.2285,0.3675,1.3834,1.1145,0.5634
[0_ 39_ 84_ 111_ 119_ 128_ 165_ 175_ 197_ 298_ 301_ 540_ 574],3.3915,BPSO with ANN,13,0.2524,0.2284,0.3378,1.4155,1.1344,0.5493
[39_ 69_ 130_ 189_ 197_ 240_ 382_ 472_ 514_ 870],2.7512,BPSO with ANN,10,0.2703,0.228,0.3211,1.4333,1.147,0.5352
[112_ 191_ 200_ 260_ 276_ 308_ 334_ 386_ 461_ 466_ 478_ 572],3.2277,BPSO with ANN,12,0.1829,0.2278,0.2275,1.5289,1.2855,0.4648
[3_ 39_ 49_ 135_ 173_ 251_ 270],2.1322,BPSO with ANN,7,0.2595,0.2277,0.3483,1.4042,1.1457,0.507
[39_ 84_ 117_ 319_ 413_ 526_ 536_ 569],2.3501,BPSO with ANN,8,0.2454,0.2273,0.319,1.4354,1.1639,0.5211
[39_ 105_ 140_ 186_ 361_ 387_ 461_ 574],2.3091,BPSO with ANN,8,0.307,0.2272,0.3528,1.3994,1.1097,0.5775
[39_ 47_ 65_ 208_ 263_ 291_ 467_ 491_ 500_ 510_ 677_ 867],3.1709,BPSO with ANN,12,0.2695,0.2266,0.3479,1.4046,1.1396,0.5352
[2_ 17_ 32_ 39_ 46_ 97_ 104_ 294_ 333_ 372_ 414_ 460_ 483_ 523_ 547_ 694_ 865],4.1958,BPSO with ANN,17,0.3086,0.2263,0.3572,1.3946,1.1125,0.5915
[39_ 87_ 140_ 157_ 294_ 314_ 496_ 690],2.3105,BPSO with ANN,8,0.3059,0.2255,0.3657,1.3854,1.1039,0.5915
[31_ 39_ 175_ 207_ 225_ 226_ 228_ 249_ 271_ 290_ 379_ 398_ 422_ 442_ 542_ 568_ 865],4.2105,BPSO with ANN,17,0.2881,0.2249,0.3698,1.3809,1.0931,0.6056
[39_ 56_ 76_ 235_ 271_ 331_ 472_ 504_ 549_ 906],2.7566,BPSO with ANN,10,0.2647,0.2234,0.3622,1.3891,1.1036,0.5493
[39_ 121_ 122_ 170_ 197_ 205_ 234_ 331_ 351_ 382_ 428_ 680_ 869],3.3925,BPSO with ANN,13,0.2545,0.222,0.3539,1.3981,1.1172,0.5493
[34_ 39_ 63_ 195_ 263_ 271_ 286_ 299_ 324_ 331_ 352_ 354_ 361_ 367_ 376_ 402_ 449_ 458_ 560],4.6474,BPSO with ANN,19,0.2705,0.2208,0.3278,1.4261,1.1412,0.5352
[39_ 69_ 76_ 95_ 202_ 210_ 298_ 318_ 490_ 693],2.7477,BPSO with ANN,10,0.2799,0.2199,0.325,1.4291,1.1391,0.507
[20_ 35_ 39_ 40_ 68_ 70_ 117_ 135_ 167_ 182_ 211_ 241_ 270_ 276_ 344_ 437_ 501_ 508_ 702_ 703],4.8507,BPSO with ANN,20,0.2842,0.2189,0.2955,1.46,1.168,0.5352
[39_ 112_ 372_ 395_ 404_ 418_ 571_ 880],2.3592,BPSO with ANN,8,0.238,0.2158,0.3461,1.4066,1.1189,0.5352
[39_ 68_ 108_ 179_ 253_ 496_ 527_ 569_ 699_ 872],2.7481,BPSO with ANN,10,0.2816,0.2157,0.3613,1.3902,1.1052,0.5915
[39_ 140_ 201_ 329_ 421_ 541_ 691_ 940],2.322,BPSO with ANN,8,0.2949,0.2142,0.3362,1.4172,1.1323,0.5493
[39_ 138_ 200_ 228_ 336_ 374_ 407_ 500_ 649_ 928],2.7555,BPSO with ANN,10,0.2714,0.2141,0.3467,1.406,1.1224,0.5775
[39_ 85_ 99_ 103_ 270_ 300_ 340_ 377_ 539],2.5436,BPSO with ANN,9,0.2759,0.2138,0.3464,1.4062,1.1193,0.5211
[31_ 39_ 49_ 79_ 166_ 236_ 351_ 373_ 486_ 490],2.7467,BPSO with ANN,10,0.2851,0.2133,0.3418,1.4112,1.1272,0.5493
[36_ 39_ 55_ 75_ 86_ 200_ 211_ 261_ 388_ 483_ 537_ 542_ 564_ 866],3.6047,BPSO with ANN,14,0.2569,0.2124,0.3099,1.445,1.1344,0.507
[39_ 120_ 136_ 186_ 246_ 261_ 299_ 425_ 427_ 430_ 549_ 865],3.1963,BPSO with ANN,12,0.2406,0.2103,0.3288,1.4251,1.1512,0.5352
[39_ 90_ 135_ 369_ 373_ 561_ 908],2.1178,BPSO with ANN,7,0.2915,0.2086,0.3386,1.4146,1.1061,0.5634
[39_ 99_ 146_ 270_ 357_ 462_ 530_ 545_ 615],2.575,BPSO with ANN,9,0.2321,0.2069,0.3279,1.426,1.1532,0.4789
[0_ 39_ 120_ 124_ 242_ 328_ 450_ 508_ 569],2.5771,BPSO with ANN,9,0.2303,0.2044,0.3178,1.4367,1.1434,0.5493
[39_ 235_ 250_ 357_ 497_ 509_ 570_ 865_ 928_ 930],2.7603,BPSO with ANN,10,0.2699,0.2041,0.349,1.4035,1.1188,0.5634
