Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Pred Acc
[156_ 213_ 233_ 250_ 317_ 352_ 404_ 432_ 446_ 487_ 489_ 852],2.9474,BPSO with SVM,12,0.3967,0.5478,0.3803,1.3694,1.1052,0.493
[70_ 104_ 185_ 195_ 376_ 391_ 403_ 426_ 528],2.3011,BPSO with SVM,9,0.4272,0.5474,0.4302,1.313,1.029,0.5775
[65_ 91_ 94_ 145_ 172_ 232_ 250_ 378_ 391_ 396_ 438_ 558_ 565_ 571],3.3258,BPSO with SVM,14,0.4444,0.5468,0.4213,1.3232,1.0146,0.5915
[255_ 276_ 331_ 357_ 360_ 375_ 391_ 401_ 434_ 539_ 558_ 569_ 695],3.0958,BPSO with SVM,13,0.4714,0.5465,0.4833,1.2503,0.9703,0.6056
[30_ 156_ 197_ 212_ 216_ 252_ 317_ 376_ 400_ 432_ 501_ 650],2.9927,BPSO with SVM,12,0.3391,0.5461,0.3535,1.3986,1.1383,0.507
[130_ 195_ 237_ 317_ 318_ 337_ 391_ 471_ 697],2.3025,BPSO with SVM,9,0.4262,0.5461,0.4395,1.3022,1.0399,0.5352
[20_ 30_ 63_ 99_ 108_ 175_ 230_ 296_ 407_ 430_ 525_ 531_ 558_ 696],3.3707,BPSO with SVM,14,0.3895,0.5447,0.3994,1.348,1.087,0.5915
[56_ 104_ 178_ 471_ 648_ 651],1.4354,BPSO with SVM,6,0.3573,0.5443,0.3496,1.4028,1.1328,0.4648
[242_ 248_ 253_ 317_ 359_ 432_ 437_ 483_ 494_ 929],2.5283,BPSO with SVM,10,0.4036,0.5442,0.3604,1.3911,1.0981,0.5493
[247_ 329_ 366_ 391_ 421_ 537_ 816],1.8787,BPSO with SVM,7,0.4399,0.5438,0.4435,1.2976,1.0055,0.5915
[64_ 104_ 193_ 388_ 451_ 542_ 648],1.9788,BPSO with SVM,7,0.3086,0.5435,0.3004,1.455,1.1132,0.5775
[53_ 106_ 153_ 378_ 421_ 540_ 615],1.8848,BPSO with SVM,7,0.4326,0.543,0.4622,1.2756,0.9754,0.5634
[99_ 240_ 391_ 431_ 438_ 451_ 460_ 495_ 523],2.2885,BPSO with SVM,9,0.4457,0.5426,0.444,1.2971,1.0334,0.5634
[6_ 99_ 191_ 210_ 332_ 350_ 391_ 444_ 651],2.2771,BPSO with SVM,9,0.46,0.5425,0.3687,1.3821,1.1389,0.5352
[115_ 127_ 193_ 276_ 457_ 872_ 939],1.8444,BPSO with SVM,7,0.4833,0.5425,0.5287,1.1941,0.9422,0.6056
[80_ 86_ 97_ 104_ 113_ 526_ 542_ 676],2.1266,BPSO with SVM,8,0.3881,0.5424,0.3844,1.3648,1.0433,0.5493
[119_ 183_ 201_ 203_ 333_ 377_ 387_ 539_ 907],2.3115,BPSO with SVM,9,0.4169,0.5423,0.4218,1.3227,1.0486,0.5775
[40_ 133_ 316_ 317_ 425_ 432_ 445_ 458_ 463_ 540_ 567],2.7846,BPSO with SVM,11,0.3415,0.5421,0.3274,1.4265,1.1512,0.4789
[1_ 50_ 104_ 202_ 384_ 415_ 444_ 514_ 648],2.3662,BPSO with SVM,9,0.3466,0.5408,0.3489,1.4036,1.1177,0.5493
[90_ 288_ 316_ 317_ 379_ 411_ 429_ 432_ 450],2.3529,BPSO with SVM,9,0.3642,0.5407,0.35,1.4024,1.1503,0.4366
