Descriptor ID,Fitness,Algorithm,Dimention,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Accuracy
[2_ 15_ 104_ 296_ 301_ 338_ 406_ 435_ 446_ 536_ 676_ 869_ 939],3.0238,DE_BPSO with MLR,13,0.5731,0.6083,0.5303,1.1922,0.9336,0.6479
[36_ 58_ 75_ 107_ 144_ 231_ 250_ 307_ 390_ 540_ 695],2.6445,DE_BPSO with MLR,11,0.4803,0.6081,0.5364,1.1843,0.9829,0.5493
[58_ 70_ 94_ 107_ 253_ 408_ 416_ 423_ 477_ 539_ 559],2.6724,DE_BPSO with MLR,11,0.4468,0.608,0.4789,1.2556,1.016,0.5352
[33_ 61_ 126_ 129_ 178_ 218_ 392_ 431_ 451_ 469_ 480_ 520_ 869],3.1091,DE_BPSO with MLR,13,0.4204,0.6078,0.4463,1.2943,1.0215,0.5634
[15_ 68_ 85_ 134_ 140_ 160_ 167_ 186_ 238_ 323_ 349_ 403_ 435_ 484],3.3245,DE_BPSO with MLR,14,0.4112,0.6074,0.5348,1.1864,1.0209,0.5352
[60_ 96_ 102_ 144_ 169_ 184_ 191_ 240_ 252_ 295_ 369_ 408_ 417_ 423_ 467_ 486_ 690_ 696],4.1219,DE_BPSO with MLR,18,0.4548,0.6072,0.5757,1.3184,1.0506,0.5352
[76_ 100_ 179_ 190_ 201_ 331_ 452_ 494_ 557_ 677_ 696],2.7217,DE_BPSO with MLR,11,0.5212,0.6072,0.5774,1.3984,1.1147,0.5493
[55_ 85_ 107_ 109_ 253_ 349_ 423_ 425_ 473_ 816_ 908],2.7397,DE_BPSO with MLR,11,0.3634,0.6072,0.5416,1.2963,1.0133,0.5775
[49_ 65_ 67_ 98_ 101_ 175_ 205_ 208_ 285_ 297_ 511_ 523_ 690_ 694_ 703],3.4573,DE_BPSO with MLR,15,0.5011,0.6071,0.5212,1.3848,1.1195,0.5352
[15_ 81_ 132_ 146_ 192_ 200_ 207_ 320_ 361_ 419_ 428_ 491],2.8273,DE_BPSO with MLR,12,0.5095,0.607,0.5731,1.2955,1.0715,0.4789
[15_ 33_ 61_ 77_ 94_ 149_ 343_ 393_ 445_ 524_ 547_ 650_ 651_ 696],3.2379,DE_BPSO with MLR,14,0.5145,0.6069,0.5064,1.222,0.9993,0.5352
[16_ 30_ 79_ 96_ 103_ 122_ 202_ 203_ 245_ 299_ 308_ 420_ 455],3.0578,DE_BPSO with MLR,13,0.4827,0.6067,0.5048,1.2241,0.98,0.6056
[15_ 40_ 73_ 150_ 227_ 387_ 428_ 485_ 880],2.2099,DE_BPSO with MLR,9,0.5059,0.6064,0.539,1.181,0.8958,0.6901
[62_ 157_ 223_ 242_ 364_ 534_ 541_ 650],2.0692,DE_BPSO with MLR,8,0.6006,0.6059,0.3978,1.3499,1.0729,0.5775
[3_ 76_ 83_ 145_ 157_ 182_ 286_ 296_ 297_ 362_ 366_ 481_ 516_ 550_ 557_ 650],3.7136,DE_BPSO with MLR,16,0.5774,0.6058,0.4913,1.2406,0.9986,0.6197
[36_ 58_ 149_ 152_ 202_ 204_ 287_ 390_ 412_ 465_ 649_ 690_ 929],3.0514,DE_BPSO with MLR,13,0.5416,0.6058,0.555,1.1604,0.9388,0.5634
[60_ 86_ 97_ 375_ 407_ 538_ 541_ 544_ 651_ 696_ 907],2.6625,DE_BPSO with MLR,11,0.5757,0.6058,0.5034,1.2258,0.9978,0.5634
[61_ 205_ 296_ 307_ 341_ 351_ 446_ 559_ 702],2.293,DE_BPSO with MLR,9,0.5212,0.6056,0.4782,1.2565,0.9937,0.5775
[36_ 54_ 118_ 141_ 207_ 294_ 464_ 476_ 695_ 866_ 869],2.7103,DE_BPSO with MLR,11,0.5731,0.6055,0.4964,1.2344,0.9507,0.6338
[15_ 98_ 100_ 177_ 184_ 420_ 489_ 531_ 534_ 541_ 937],2.6838,DE_BPSO with MLR,11,0.4344,0.6055,0.4923,1.2394,1.0194,0.5211
