Descriptor ID,Fitness,Algorithm,Dimention,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Accuracy
[96_ 169_ 248_ 277_ 325_ 349_ 469_ 542_ 558_ 870],2.496,DE_BPSO with ANN,10,0.4089,0.6082,0.5427,1.1763,0.8962,0.662
[20_ 59_ 62_ 151_ 238_ 242_ 315_ 445_ 693_ 839],2.4805,DE_BPSO with ANN,10,0.4284,0.6077,0.51,1.2177,0.9999,0.5915
[50_ 57_ 125_ 149_ 215_ 242_ 338_ 389_ 420_ 434_ 435_ 447_ 468_ 473_ 478_ 484_ 497_ 929_ 938],4.2892,DE_BPSO with ANN,19,0.5027,0.6076,0.5057,1.2229,0.973,0.5775
[15_ 97_ 108_ 213_ 248_ 286_ 331_ 333_ 385_ 393_ 407_ 461_ 472_ 631_ 696_ 703],3.7209,DE_BPSO with ANN,16,0.4353,0.6076,0.4942,1.237,1.0163,0.5775
[101_ 118_ 241_ 267_ 282_ 305_ 384_ 391_ 399_ 421_ 451_ 478_ 484_ 531_ 678_ 869],3.6508,DE_BPSO with ANN,16,0.5173,0.6076,0.5958,1.1059,0.8835,0.5915
[15_ 48_ 89_ 106_ 132_ 137_ 186_ 193_ 382_ 427_ 438_ 497_ 518],3.0621,DE_BPSO with ANN,13,0.4772,0.6074,0.5523,1.1639,0.9401,0.6056
[98_ 121_ 245_ 321_ 382_ 419_ 538_ 574_ 816_ 930],2.4738,DE_BPSO with ANN,10,0.4368,0.6074,0.4105,1.3355,1.079,0.6197
[0_ 58_ 94_ 103_ 116_ 160_ 220_ 235_ 236_ 277_ 290_ 296_ 338_ 351_ 364_ 365_ 419_ 676_ 870_ 907],4.4442,DE_BPSO with ANN,20,0.5627,0.6073,0.637,1.048,0.8616,0.5915
[6_ 62_ 65_ 75_ 98_ 200_ 223_ 291_ 432_ 474_ 551_ 572_ 908],3.0415,DE_BPSO with ANN,13,0.5013,0.6073,0.3916,1.3568,1.104,0.4507
[44_ 62_ 70_ 94_ 106_ 117_ 148_ 185_ 869],2.2659,DE_BPSO with ANN,9,0.4381,0.6073,0.4262,1.3177,1.0609,0.493
[15_ 31_ 48_ 100_ 147_ 263_ 371_ 421_ 527_ 567],2.4782,DE_BPSO with ANN,10,0.4316,0.6071,0.5393,1.1807,0.9472,0.5775
[54_ 77_ 149_ 151_ 193_ 228_ 286_ 358_ 386_ 438_ 488_ 928],2.8089,DE_BPSO with ANN,12,0.5308,0.607,0.4911,1.2409,1.0081,0.5775
[84_ 106_ 119_ 126_ 162_ 272_ 356_ 362_ 400_ 425_ 451_ 528_ 557_ 697_ 867_ 907],3.6324,DE_BPSO with ANN,16,0.5385,0.6068,0.4564,1.2825,1.0746,0.5211
[3_ 5_ 15_ 94_ 165_ 172_ 315_ 378_ 386_ 397_ 499_ 531_ 541],3.0179,DE_BPSO with ANN,13,0.5288,0.6068,0.5365,1.1842,0.9438,0.6338
[16_ 36_ 184_ 245_ 415_ 445_ 525],1.8409,DE_BPSO with ANN,7,0.4529,0.6066,0.5827,1.1236,0.8925,0.6338
[5_ 75_ 117_ 130_ 155_ 184_ 202_ 218_ 311_ 366_ 381_ 469_ 475],3.0535,DE_BPSO with ANN,13,0.4878,0.6065,0.5167,1.2093,0.9266,0.5915
